partner,unit,geo,TIME_PERIOD,OBS_VALUE
TOTAL,GWH,AL,1990,323.0
TOTAL,GWH,AL,1996,150.0
TOTAL,GWH,AL,1997,711.0
TOTAL,GWH,AL,1998,1069.0
TOTAL,GWH,AL,1999,1113.0
TOTAL,GWH,AL,2000,1224.0
TOTAL,GWH,AL,2001,1820.0
TOTAL,GWH,AL,2002,2163.0
TOTAL,GWH,AL,2003,1242.0
TOTAL,GWH,AL,2004,477.0
TOTAL,GWH,AL,2005,371.0
TOTAL,GWH,AL,2006,611.0
TOTAL,GWH,AL,2007,2828.0
TOTAL,GWH,AL,2008,2434.0
TOTAL,GWH,AL,2009,1886.0
TOTAL,GWH,AL,2010,1986.0
TOTAL,GWH,AL,2011,3262.0
TOTAL,GWH,AL,2012,2538.0
TOTAL,GWH,AL,2013,2323.0
TOTAL,GWH,AL,2014,3250.0
TOTAL,GWH,AL,2015,2355.0
TOTAL,GWH,AL,2017,2914.628
TOTAL,GWH,AL,2018,850.48
TOTAL,GWH,AL,2019,3176.515
TOTAL,GWH,AL,2020,3238.631
TOTAL,GWH,AL,2021,2252.0
TOTAL,GWH,AT,1990,6839.0
TOTAL,GWH,AT,1991,8503.0
TOTAL,GWH,AT,1992,9175.0
TOTAL,GWH,AT,1993,8072.0
TOTAL,GWH,AT,1994,8219.0
TOTAL,GWH,AT,1995,7287.0
TOTAL,GWH,AT,1996,9428.0
TOTAL,GWH,AT,1997,9008.0
TOTAL,GWH,AT,1998,10304.0
TOTAL,GWH,AT,1999,11608.0
TOTAL,GWH,AT,2000,13824.0
TOTAL,GWH,AT,2001,14467.0
TOTAL,GWH,AT,2002,15375.0
TOTAL,GWH,AT,2003,19003.0
TOTAL,GWH,AT,2004,16629.0
TOTAL,GWH,AT,2005,20355.431
TOTAL,GWH,AT,2006,20924.826
TOTAL,GWH,AT,2007,21783.088
TOTAL,GWH,AT,2008,19795.314
TOTAL,GWH,AT,2009,19542.064
TOTAL,GWH,AT,2010,19908.697
TOTAL,GWH,AT,2011,24976.711
TOTAL,GWH,AT,2012,23429.715
TOTAL,GWH,AT,2013,24959.57
TOTAL,GWH,AT,2014,26711.723
TOTAL,GWH,AT,2015,29389.163
TOTAL,GWH,AT,2016,26366.16
TOTAL,GWH,AT,2017,29362.427
TOTAL,GWH,AT,2018,28076.136
TOTAL,GWH,AT,2019,26046.847
TOTAL,GWH,AT,2020,24522.492
TOTAL,GWH,AT,2021,26436.192
TOTAL,GWH,BA,2014,3162.0
TOTAL,GWH,BA,2015,3872.0
TOTAL,GWH,BA,2016,3084.0
TOTAL,GWH,BA,2017,3346.0
TOTAL,GWH,BA,2018,3092.0
TOTAL,GWH,BA,2019,2825.0
TOTAL,GWH,BA,2020,3266.0
TOTAL,GWH,BA,2021,3259.0
TOTAL,GWH,BE,1990,4785.0
TOTAL,GWH,BE,1991,4998.0
TOTAL,GWH,BE,1992,5849.0
TOTAL,GWH,BE,1993,7590.0
TOTAL,GWH,BE,1994,9053.0
TOTAL,GWH,BE,1995,9398.0
TOTAL,GWH,BE,1996,9637.0
TOTAL,GWH,BE,1997,9975.0
TOTAL,GWH,BE,1998,7828.0
TOTAL,GWH,BE,1999,9059.0
TOTAL,GWH,BE,2000,11645.0
TOTAL,GWH,BE,2001,15818.0
TOTAL,GWH,BE,2002,16658.0
TOTAL,GWH,BE,2003,14664.0
TOTAL,GWH,BE,2004,14567.0
TOTAL,GWH,BE,2005,14328.0
TOTAL,GWH,BE,2006,18853.0
TOTAL,GWH,BE,2007,15816.0
TOTAL,GWH,BE,2008,17158.0
TOTAL,GWH,BE,2009,9486.0
TOTAL,GWH,BE,2010,12395.0
TOTAL,GWH,BE,2011,13189.0
TOTAL,GWH,BE,2012,16848.0
TOTAL,GWH,BE,2013,17243.0
TOTAL,GWH,BE,2014,21791.0
TOTAL,GWH,BE,2015,23714.0
TOTAL,GWH,BE,2016,14648.0
TOTAL,GWH,BE,2017,14189.4
TOTAL,GWH,BE,2018,21635.9
TOTAL,GWH,BE,2019,12734.4
TOTAL,GWH,BE,2020,13721.9
TOTAL,GWH,BE,2021,15193.6
TOTAL,GWH,BG,1990,5387.0
TOTAL,GWH,BG,1991,3083.0
TOTAL,GWH,BG,1992,3289.0
TOTAL,GWH,BG,1993,1630.0
TOTAL,GWH,BG,1994,1173.0
TOTAL,GWH,BG,1995,1961.0
TOTAL,GWH,BG,1996,1803.0
TOTAL,GWH,BG,1997,785.0
TOTAL,GWH,BG,1998,564.0
TOTAL,GWH,BG,1999,1670.0
TOTAL,GWH,BG,2000,964.0
TOTAL,GWH,BG,2001,1092.0
TOTAL,GWH,BG,2002,2040.0
TOTAL,GWH,BG,2003,1283.0
TOTAL,GWH,BG,2004,741.0
TOTAL,GWH,BG,2005,799.0
TOTAL,GWH,BG,2006,1139.0
TOTAL,GWH,BG,2007,3058.0
TOTAL,GWH,BG,2008,3097.0
TOTAL,GWH,BG,2009,2662.0
TOTAL,GWH,BG,2010,1167.0
TOTAL,GWH,BG,2011,1449.0
TOTAL,GWH,BG,2012,2353.0
TOTAL,GWH,BG,2013,3351.0
TOTAL,GWH,BG,2014,4319.0
TOTAL,GWH,BG,2015,4251.0
TOTAL,GWH,BG,2016,4568.0
TOTAL,GWH,BG,2017,3705.423
TOTAL,GWH,BG,2018,2222.726
TOTAL,GWH,BG,2019,3044.947
TOTAL,GWH,BG,2020,3706.736
TOTAL,GWH,BG,2021,1856.976
TOTAL,GWH,CZ,1990,8179.0
TOTAL,GWH,CZ,1991,7194.0
TOTAL,GWH,CZ,1992,6156.0
TOTAL,GWH,CZ,1993,5952.0
TOTAL,GWH,CZ,1994,5415.0
TOTAL,GWH,CZ,1995,6722.0
TOTAL,GWH,CZ,1996,8811.0
TOTAL,GWH,CZ,1997,9013.0
TOTAL,GWH,CZ,1998,8383.0
TOTAL,GWH,CZ,1999,8983.0
TOTAL,GWH,CZ,2000,8725.0
TOTAL,GWH,CZ,2001,9380.0
TOTAL,GWH,CZ,2002,9502.0
TOTAL,GWH,CZ,2003,10086.0
TOTAL,GWH,CZ,2004,9776.0
TOTAL,GWH,CZ,2005,12351.0
TOTAL,GWH,CZ,2006,11466.0
TOTAL,GWH,CZ,2007,10204.0
TOTAL,GWH,CZ,2008,8520.0
TOTAL,GWH,CZ,2009,8586.0
TOTAL,GWH,CZ,2010,6642.0
TOTAL,GWH,CZ,2011,10457.0
TOTAL,GWH,CZ,2012,11587.0
TOTAL,GWH,CZ,2013,10571.0
TOTAL,GWH,CZ,2014,11842.0
TOTAL,GWH,CZ,2015,16146.0
TOTAL,GWH,CZ,2016,13817.0
TOTAL,GWH,CZ,2017,15071.999
TOTAL,GWH,CZ,2018,11573.41
TOTAL,GWH,CZ,2019,11026.213
TOTAL,GWH,CZ,2020,13368.051
TOTAL,GWH,CZ,2021,15152.981
TOTAL,GWH,DE,1990,31669.0
TOTAL,GWH,DE,1991,30416.0
TOTAL,GWH,DE,1992,28418.0
TOTAL,GWH,DE,1993,33628.0
TOTAL,GWH,DE,1994,35908.0
TOTAL,GWH,DE,1995,39735.0
TOTAL,GWH,DE,1996,37404.0
TOTAL,GWH,DE,1997,38012.0
TOTAL,GWH,DE,1998,38315.0
TOTAL,GWH,DE,1999,40598.0
TOTAL,GWH,DE,2000,45134.0
TOTAL,GWH,DE,2001,45779.0
TOTAL,GWH,DE,2002,48370.0
TOTAL,GWH,DE,2003,49110.0
TOTAL,GWH,DE,2004,48187.0
TOTAL,GWH,DE,2005,56861.0
TOTAL,GWH,DE,2006,48464.0
TOTAL,GWH,DE,2007,45953.0
TOTAL,GWH,DE,2008,41670.0
TOTAL,GWH,DE,2009,41859.0
TOTAL,GWH,DE,2010,42962.0
TOTAL,GWH,DE,2011,51003.0
TOTAL,GWH,DE,2012,46268.0
TOTAL,GWH,DE,2013,39222.0
TOTAL,GWH,DE,2014,40435.0
TOTAL,GWH,DE,2015,37008.0
TOTAL,GWH,DE,2016,28338.0
TOTAL,GWH,DE,2017,27842.0
TOTAL,GWH,DE,2018,31727.0
TOTAL,GWH,DE,2019,40126.0
TOTAL,GWH,DE,2020,47853.0
TOTAL,GWH,DE,2021,51731.0
TOTAL,GWH,DK,1990,11973.0
TOTAL,GWH,DK,1991,3075.0
TOTAL,GWH,DK,1992,8647.0
TOTAL,GWH,DK,1993,6279.0
TOTAL,GWH,DK,1994,1781.0
TOTAL,GWH,DK,1995,4013.0
TOTAL,GWH,DK,1996,3781.0
TOTAL,GWH,DK,1997,3796.0
TOTAL,GWH,DK,1998,3280.0
TOTAL,GWH,DK,1999,4963.0
TOTAL,GWH,DK,2000,8417.0
TOTAL,GWH,DK,2001,8199.0
TOTAL,GWH,DK,2002,8939.0
TOTAL,GWH,DK,2003,7023.0
TOTAL,GWH,DK,2004,8673.0
TOTAL,GWH,DK,2005,12943.0
TOTAL,GWH,DK,2006,6767.0
TOTAL,GWH,DK,2007,10427.0
TOTAL,GWH,DK,2008,12815.0
TOTAL,GWH,DK,2009,11208.0
TOTAL,GWH,DK,2010,10599.0
TOTAL,GWH,DK,2011,11694.0
TOTAL,GWH,DK,2012,15920.0
TOTAL,GWH,DK,2013,11459.0
TOTAL,GWH,DK,2014,12702.0
TOTAL,GWH,DK,2015,15644.747
TOTAL,GWH,DK,2016,14976.458
TOTAL,GWH,DK,2017,15218.109
TOTAL,GWH,DK,2018,15633.609
TOTAL,GWH,DK,2019,15981.899
TOTAL,GWH,DK,2020,18593.972
TOTAL,GWH,DK,2021,20119.85
TOTAL,GWH,EE,1990,1475.0
TOTAL,GWH,EE,1991,2222.0
TOTAL,GWH,EE,1992,254.0
TOTAL,GWH,EE,1993,221.0
TOTAL,GWH,EE,1994,315.0
TOTAL,GWH,EE,1995,245.0
TOTAL,GWH,EE,1996,240.0
TOTAL,GWH,EE,1997,210.0
TOTAL,GWH,EE,1998,138.0
TOTAL,GWH,EE,1999,138.0
TOTAL,GWH,EE,2000,374.0
TOTAL,GWH,EE,2001,496.0
TOTAL,GWH,EE,2002,412.0
TOTAL,GWH,EE,2003,93.0
TOTAL,GWH,EE,2004,347.0
TOTAL,GWH,EE,2005,345.0
TOTAL,GWH,EE,2006,251.0
TOTAL,GWH,EE,2007,345.0
TOTAL,GWH,EE,2008,1369.0
TOTAL,GWH,EE,2009,3025.0
TOTAL,GWH,EE,2010,1100.0
TOTAL,GWH,EE,2011,1690.0
TOTAL,GWH,EE,2012,2710.0
TOTAL,GWH,EE,2013,2712.0
TOTAL,GWH,EE,2014,3730.0
TOTAL,GWH,EE,2015,5452.0
TOTAL,GWH,EE,2016,3577.0
TOTAL,GWH,EE,2017,2281.0
TOTAL,GWH,EE,2018,3053.0
TOTAL,GWH,EE,2019,4861.0
TOTAL,GWH,EE,2020,7367.0
TOTAL,GWH,EE,2021,7332.438
TOTAL,GWH,EL,1990,1330.0
TOTAL,GWH,EL,1991,1498.0
TOTAL,GWH,EL,1992,967.0
TOTAL,GWH,EL,1993,1093.0
TOTAL,GWH,EL,1994,816.0
TOTAL,GWH,EL,1995,1390.0
TOTAL,GWH,EL,1996,2664.0
TOTAL,GWH,EL,1997,3003.0
TOTAL,GWH,EL,1998,2500.0
TOTAL,GWH,EL,1999,1811.0
TOTAL,GWH,EL,2000,1729.0
TOTAL,GWH,EL,2001,3562.0
TOTAL,GWH,EL,2002,4602.0
TOTAL,GWH,EL,2003,4169.0
TOTAL,GWH,EL,2004,4854.0
TOTAL,GWH,EL,2005,5616.0
TOTAL,GWH,EL,2006,6140.0
TOTAL,GWH,EL,2007,6412.0
TOTAL,GWH,EL,2008,7575.0
TOTAL,GWH,EL,2009,7600.0
TOTAL,GWH,EL,2010,8517.0
TOTAL,GWH,EL,2011,7180.0
TOTAL,GWH,EL,2012,5954.0
TOTAL,GWH,EL,2013,5788.0
TOTAL,GWH,EL,2014,9461.0
TOTAL,GWH,EL,2015,11081.0
TOTAL,GWH,EL,2016,9833.0
TOTAL,GWH,EL,2017,8696.0
TOTAL,GWH,EL,2018,8550.0
TOTAL,GWH,EL,2019,11067.0
TOTAL,GWH,EL,2020,9831.0
TOTAL,GWH,EL,2021,7581.0
TOTAL,GWH,ES,1990,3208.0
TOTAL,GWH,ES,1991,3083.0
TOTAL,GWH,ES,1992,4351.0
TOTAL,GWH,ES,1993,4606.0
TOTAL,GWH,ES,1994,5106.0
TOTAL,GWH,ES,1995,7633.0
TOTAL,GWH,ES,1996,6750.0
TOTAL,GWH,ES,1997,4597.0
TOTAL,GWH,ES,1998,8964.0
TOTAL,GWH,ES,1999,11959.0
TOTAL,GWH,ES,2000,12268.0
TOTAL,GWH,ES,2001,10177.0
TOTAL,GWH,ES,2002,12504.0
TOTAL,GWH,ES,2003,9520.0
TOTAL,GWH,ES,2004,8111.0
TOTAL,GWH,ES,2005,10212.0
TOTAL,GWH,ES,2006,9093.0
TOTAL,GWH,ES,2007,8773.0
TOTAL,GWH,ES,2008,5881.0
TOTAL,GWH,ES,2009,6751.0
TOTAL,GWH,ES,2010,5206.0
TOTAL,GWH,ES,2011,7932.0
TOTAL,GWH,ES,2012,7787.0
TOTAL,GWH,ES,2013,9887.0
TOTAL,GWH,ES,2014,12310.0
TOTAL,GWH,ES,2015,14956.0
TOTAL,GWH,ES,2016,21845.0
TOTAL,GWH,ES,2017,23762.0
TOTAL,GWH,ES,2018,24018.0
TOTAL,GWH,ES,2019,18720.84
TOTAL,GWH,ES,2020,17928.364
TOTAL,GWH,ES,2021,17411.223
TOTAL,GWH,FI,1990,11007.0
TOTAL,GWH,FI,1991,7931.0
TOTAL,GWH,FI,1992,9067.0
TOTAL,GWH,FI,1993,8013.0
TOTAL,GWH,FI,1994,7171.0
TOTAL,GWH,FI,1995,8501.0
TOTAL,GWH,FI,1996,5367.0
TOTAL,GWH,FI,1997,8103.0
TOTAL,GWH,FI,1998,9582.0
TOTAL,GWH,FI,1999,11356.0
TOTAL,GWH,FI,2000,12206.0
TOTAL,GWH,FI,2001,11769.0
TOTAL,GWH,FI,2002,13464.0
TOTAL,GWH,FI,2003,11882.0
TOTAL,GWH,FI,2004,11667.0
TOTAL,GWH,FI,2005,17948.0
TOTAL,GWH,FI,2006,14118.0
TOTAL,GWH,FI,2007,15419.0
TOTAL,GWH,FI,2008,16107.0
TOTAL,GWH,FI,2009,15460.0
TOTAL,GWH,FI,2010,15719.0
TOTAL,GWH,FI,2011,17656.0
TOTAL,GWH,FI,2012,19089.0
TOTAL,GWH,FI,2013,17591.0
TOTAL,GWH,FI,2014,21622.0
TOTAL,GWH,FI,2015,21459.0
TOTAL,GWH,FI,2016,22110.0
TOTAL,GWH,FI,2017,22204.0
TOTAL,GWH,FI,2018,22548.0
TOTAL,GWH,FI,2019,23938.0
TOTAL,GWH,FI,2020,21774.0
TOTAL,GWH,FI,2021,24492.0
TOTAL,GWH,FR,1990,6674.0
TOTAL,GWH,FR,1991,5516.0
TOTAL,GWH,FR,1992,4737.0
TOTAL,GWH,FR,1993,3663.0
TOTAL,GWH,FR,1994,3718.0
TOTAL,GWH,FR,1995,2860.0
TOTAL,GWH,FR,1996,3617.0
TOTAL,GWH,FR,1997,4238.0
TOTAL,GWH,FR,1998,4590.0
TOTAL,GWH,FR,1999,4965.0
TOTAL,GWH,FR,2000,3695.0
TOTAL,GWH,FR,2001,4471.0
TOTAL,GWH,FR,2002,3705.0
TOTAL,GWH,FR,2003,6959.0
TOTAL,GWH,FR,2004,6571.0
TOTAL,GWH,FR,2005,8062.0
TOTAL,GWH,FR,2006,8522.0
TOTAL,GWH,FR,2007,10782.0
TOTAL,GWH,FR,2008,10748.0
TOTAL,GWH,FR,2009,18517.0
TOTAL,GWH,FR,2010,19475.0
TOTAL,GWH,FR,2011,9501.0
TOTAL,GWH,FR,2012,12213.0
TOTAL,GWH,FR,2013,11687.0
TOTAL,GWH,FR,2014,7873.0
TOTAL,GWH,FR,2015,9961.0
TOTAL,GWH,FR,2016,19903.0
TOTAL,GWH,FR,2017,21119.18
TOTAL,GWH,FR,2018,13512.09
TOTAL,GWH,FR,2019,15631.75
TOTAL,GWH,FR,2020,19536.102
TOTAL,GWH,FR,2021,24334.451
TOTAL,GWH,GE,2013,484.0
TOTAL,GWH,GE,2014,853.0
TOTAL,GWH,GE,2015,699.0
TOTAL,GWH,GE,2016,1329.0
TOTAL,GWH,GE,2017,1751.2
TOTAL,GWH,GE,2018,1522.2
TOTAL,GWH,GE,2019,1762.7
TOTAL,GWH,GE,2020,1711.9
TOTAL,GWH,GE,2021,3189.9
TOTAL,GWH,HR,1990,7522.0
TOTAL,GWH,HR,1991,6068.0
TOTAL,GWH,HR,1992,3419.0
TOTAL,GWH,HR,1993,3583.0
TOTAL,GWH,HR,1994,4547.0
TOTAL,GWH,HR,1995,4382.0
TOTAL,GWH,HR,1996,3960.0
TOTAL,GWH,HR,1997,4608.0
TOTAL,GWH,HR,1998,3783.0
TOTAL,GWH,HR,1999,2956.0
TOTAL,GWH,HR,2000,4386.0
TOTAL,GWH,HR,2001,3744.0
TOTAL,GWH,HR,2002,3927.0
TOTAL,GWH,HR,2003,4479.0
TOTAL,GWH,HR,2004,5298.0
TOTAL,GWH,HR,2005,8746.0
TOTAL,GWH,HR,2006,8313.0
TOTAL,GWH,HR,2007,7812.0
TOTAL,GWH,HR,2008,12254.0
TOTAL,GWH,HR,2009,11892.0
TOTAL,GWH,HR,2010,12415.0
TOTAL,GWH,HR,2011,13985.0
TOTAL,GWH,HR,2012,13174.0
TOTAL,GWH,HR,2013,11260.0
TOTAL,GWH,HR,2014,10898.0
TOTAL,GWH,HR,2015,13158.0
TOTAL,GWH,HR,2016,12398.0
TOTAL,GWH,HR,2017,12157.9
TOTAL,GWH,HR,2018,12693.4
TOTAL,GWH,HR,2019,11400.8
TOTAL,GWH,HR,2020,10491.0
TOTAL,GWH,HR,2021,11504.7
TOTAL,GWH,HU,1990,13299.0
TOTAL,GWH,HU,1991,8410.0
TOTAL,GWH,HU,1992,4988.0
TOTAL,GWH,HU,1993,4093.0
TOTAL,GWH,HU,1994,2954.0
TOTAL,GWH,HU,1995,3210.0
TOTAL,GWH,HU,1996,3473.0
TOTAL,GWH,HU,1997,4410.0
TOTAL,GWH,HU,1998,3354.0
TOTAL,GWH,HU,1999,4349.0
TOTAL,GWH,HU,2000,9523.0
TOTAL,GWH,HU,2001,10403.0
TOTAL,GWH,HU,2002,12605.0
TOTAL,GWH,HU,2003,14077.0
TOTAL,GWH,HU,2004,10524.0
TOTAL,GWH,HU,2005,15637.0
TOTAL,GWH,HU,2006,15393.0
TOTAL,GWH,HU,2007,14680.0
TOTAL,GWH,HU,2008,12774.0
TOTAL,GWH,HU,2009,10972.0
TOTAL,GWH,HU,2010,9897.0
TOTAL,GWH,HU,2011,14664.0
TOTAL,GWH,HU,2012,16970.0
TOTAL,GWH,HU,2013,16635.0
TOTAL,GWH,HU,2014,19079.0
TOTAL,GWH,HU,2015,19935.0
TOTAL,GWH,HU,2016,17951.0
TOTAL,GWH,HU,2017,19803.0
TOTAL,GWH,HU,2018,18613.0
TOTAL,GWH,HU,2019,19853.0
TOTAL,GWH,HU,2020,19176.0
TOTAL,GWH,HU,2021,19967.0
TOTAL,GWH,IE,1995,20.0
TOTAL,GWH,IE,1996,53.0
TOTAL,GWH,IE,1997,64.0
TOTAL,GWH,IE,1998,152.0
TOTAL,GWH,IE,1999,290.0
TOTAL,GWH,IE,2000,169.0
TOTAL,GWH,IE,2001,38.0
TOTAL,GWH,IE,2002,565.0
TOTAL,GWH,IE,2003,1176.0
TOTAL,GWH,IE,2004,1574.0
TOTAL,GWH,IE,2005,2045.41
TOTAL,GWH,IE,2006,1786.907
TOTAL,GWH,IE,2007,1412.404
TOTAL,GWH,IE,2008,753.031
TOTAL,GWH,IE,2009,939.217
TOTAL,GWH,IE,2010,759.887
TOTAL,GWH,IE,2011,731.622
TOTAL,GWH,IE,2012,783.605
TOTAL,GWH,IE,2013,2625.164
TOTAL,GWH,IE,2014,2853.015
TOTAL,GWH,IE,2015,1751.975
TOTAL,GWH,IE,2016,871.263
TOTAL,GWH,IE,2017,1116.408
TOTAL,GWH,IE,2018,1621.519
TOTAL,GWH,IE,2019,2179.579
TOTAL,GWH,IE,2020,1761.112
TOTAL,GWH,IE,2021,2450.715
TOTAL,GWH,IT,1990,35577.0
TOTAL,GWH,IT,1991,35454.0
TOTAL,GWH,IT,1992,35947.0
TOTAL,GWH,IT,1993,40109.0
TOTAL,GWH,IT,1994,38695.0
TOTAL,GWH,IT,1995,38662.0
TOTAL,GWH,IT,1996,38149.0
TOTAL,GWH,IT,1997,39827.0
TOTAL,GWH,IT,1998,41633.0
TOTAL,GWH,IT,1999,42538.0
TOTAL,GWH,IT,2000,44831.0
TOTAL,GWH,IT,2001,48926.0
TOTAL,GWH,IT,2002,51519.0
TOTAL,GWH,IT,2003,51486.0
TOTAL,GWH,IT,2004,46426.0
TOTAL,GWH,IT,2005,50264.0
TOTAL,GWH,IT,2006,46596.0
TOTAL,GWH,IT,2007,48931.0
TOTAL,GWH,IT,2008,43433.0
TOTAL,GWH,IT,2009,47070.0
TOTAL,GWH,IT,2010,45987.0
TOTAL,GWH,IT,2011,47519.0
TOTAL,GWH,IT,2012,45407.0
TOTAL,GWH,IT,2013,44338.0
TOTAL,GWH,IT,2014,46747.0
TOTAL,GWH,IT,2015,50849.0
TOTAL,GWH,IT,2016,43181.0
TOTAL,GWH,IT,2017,42894.881
TOTAL,GWH,IT,2018,47170.204
TOTAL,GWH,IT,2019,43974.94
TOTAL,GWH,IT,2020,39789.94
TOTAL,GWH,IT,2021,46571.698
TOTAL,GWH,LI,2014,355.0
TOTAL,GWH,LI,2015,325.0
TOTAL,GWH,LI,2016,309.0
TOTAL,GWH,LI,2017,314.0
TOTAL,GWH,LI,2018,321.0
TOTAL,GWH,LI,2019,307.0
TOTAL,GWH,LI,2020,299.0
TOTAL,GWH,LI,2021,311.0
TOTAL,GWH,LT,1990,4538.0
TOTAL,GWH,LT,1991,3725.0
TOTAL,GWH,LT,1992,5338.0
TOTAL,GWH,LT,1993,5736.0
TOTAL,GWH,LT,1994,7114.0
TOTAL,GWH,LT,1995,5270.0
TOTAL,GWH,LT,1996,4182.0
TOTAL,GWH,LT,1997,4524.0
TOTAL,GWH,LT,1998,4572.0
TOTAL,GWH,LT,1999,4893.0
TOTAL,GWH,LT,2000,5150.0
TOTAL,GWH,LT,2001,4442.0
TOTAL,GWH,LT,2002,4532.0
TOTAL,GWH,LT,2003,4144.0
